报表日期	20260630	20260331	20251231	20250930	20250630	20250331	20241231	20240930	20240630	20240331	20231231	20230930	20230630	20230331	20221231	20220930	20220630	20220331	20211231	20210930	20210630	20210331	20201231	20200930	20200630	20200331	20191231	20190930	20190630	20190331	20181231	20180930	20180630	20180331	20171231	20170930	20170630	20170331	20161231	20160930	20160630	20160331	20151231	20150930	20150630	20150331	20141231	20140930	20140630	20140331	20131231	20130930	20130630	20130331	20121231	20120930	20120630	20120331	20111231	20110930	20110630	20110331	20101231	20100930	20100630	20100331	20091231	20090930	20090630	20090331	20081231	20080930	20080630	20080331	20071231	20070930	20070630	20070331	20061231	20060930	20060630	20060331	20051231	20050930	20050630	20050331	20041231	20040930	20040630	20040331	20031231	20030930	20030630	20030331	20021231	20020930	20020630	20020331	20011231	20010630	20001231	20000630	19991231	19990630	19981231	19971231	19961231	19951231	19700101	
单位	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元		
流动资产
在建工程(合计)	160006123.55	136465228.38	135168635.64	162175334.90	301760511.41	357793764.19	289359705.82	404422069.96	394134081.09	387781527.27	882393205.78	1855993535.25	1989398392.57	2681724135.49	2725774466.24	2113275228.84	2982308271.97	2930491505.04	3097334463.83	2422502586.74	1052651325.74	493492464.21	323388219.78	328233743.44	247445946.70	229605861.68	174313486.48	161247793.68	151136595.43	150175374.51	111507284.76	376011087.87	224450782.89	207075163.28	158186690.22	0	712327341.76	599715070.43	534939199.89	0	408405809.60	393098807.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
在建工程	0	0	0	0	296351856.76	0	283594813.90	0	383848184.20	0	869144278.14	0	1968467732.95	0	2710640052.48	0	2961443559.70	0	3073587016.85	0	1028030206.58	0	317010335.03	0	243749597.53	0	170853166.33	0	147302762.40	0	107636416.61	376011087.87	217700225.50	204266206.51	154056643.23	161895019.21	708210959.04	597158877.29	532599950.74	462903499.23	403340217.23	386178301.50	715348798.08	1510101314.19	1198683546.29	886094498.88	729484014.33	685878981.32	413103225.79	259646799.74	461768034.95	406091380.11	695741851.21	463904016.11	381067111.63	400952458.91	193717806.16	155272129.08	548123955.86	53778232.02	13862592.45	22452441.84	30589324.03	48861156.17	136525591.35	55571353.31	88708735.11	52783295.47	17388697.11	51333690.66	38528880.66	123730801.36	101459100.00	58256635.55	40963195.20	27676109.50	15227027.01	8203410.14	4586105.42	5814544.11	73766051.79	43416271.94	29543228.24	94999207.93	106803284.43	108618558.43	95783289.92	134006498.76	133823105.59	127300602.23	94124088.06	57495276.71	13128742.98	2470684.97	16110253.31	12412291.84	27968547.79	23888168.01	20052536.56	7126887.01	0	237385725.58	36070944.22	51175576.07	10836207.12	54815475.98	3688274.51	95429.02	0	
工程物资	0	0	0	0	5408654.65	0	5764891.92	0	10285896.89	0	13248927.64	0	20930659.62	0	15134413.76	0	20864712.27	0	23747446.98	0	24621119.16	0	6377884.75	0	3696349.17	0	3460320.15	0	3833833.03	0	3870868.15	0	6750557.39	2808956.77	4130046.99	2889401.73	4116382.72	2556193.14	2339249.15	3109261.39	5065592.37	6920506.35	6809492.08	9575718.25	23609309.39	15602459.92	12188147.10	10718577.68	32178067.45	9336409.32	25346675.37	14872105.95	25376755.30	17141193.88	9621128.69	52238744.88	4973269.09	4638369.83	67998403.51	275656.68	489824.89	421771.65	1474071.70	158549.64	194471.95	233667.25	130045.40	0	0	0	0	33500.59	0	0	0	0	0	0	0	0	0	0	0	529774.76	529774.76	3460202.76	2636234.76	6642126.50	11912579.58	4481567.13	2202030.44	26492.10	2100.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
固定资产及清理(合计)	15737185997.66	15963967243.33	16181246471.23	16378006864.59	16496888256.89	16629663377.94	16893266348.40	17014194584.82	17174485975.14	17413433324.74	17074640075.50	16241326864.05	15981033811.11	15179006361.95	15164822690.31	14852957658.87	13070980353.16	11626457701.97	10835284270.95	10030139379.79	9961060595.67	10142428027.35	10303818090.88	10227675008.00	10323722004.41	10411488842.15	10575391363.86	10684444009.22	10755811238.82	10938218197.78	11098468389.10	10891871729.01	11159914298.56	11303393266.51	11499807659.66	0	11095288379.66	11339325059.11	11574188890.19	0	11899324005.65	12036140904.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
固定资产净额	15737185997.66	0	16181246471.23	0	16496888256.89	0	16893266348.40	0	17174485975.14	0	17074640075.50	0	15981033811.11	0	15164822690.31	0	13070980353.16	0	10835284270.95	0	9961060595.67	0	10303818090.88	0	10323722004.41	0	10575391363.86	0	10755811238.82	0	11098468389.10	10891871729.01	11159914298.56	11303393266.51	11499807659.66	11624941125.34	11095288379.66	11339325059.11	11574188890.19	11726838517.17	11899324005.65	12036140904.42	11776311707.43	10739701024.03	10868643835.10	11029910970.98	11196022964.56	9076973814.69	9106297986.99	9036924175.43	8497448415.12	8196970611.93	7602742597.68	7745405970.88	7862565161.42	7780584600.73	2033011198.79	2079963382.20	7713848636.34	2099408649.07	2128336856.13	2150325930.02	2146298058.79	1974899555.38	1873159836.92	1827120411.41	1739638909.13	1645225318.14	1656467101.49	1537357074.98	1562760590.96	1448506611.54	1471074820.67	1475855446.98	1475652848.13	1472308753.13	1467263672.64	1503703053.70	1534699833.63	1587815023.62	1488150776.77	1546438171.39	1561261607.06	1507170535.13	1462331084.93	1476042451.46	1450688423.15	1368510997.34	1330062386.28	1314481127.46	1269746165.49	1125770307.03	1072545298.62	1085396604.37	930255119.25	854986418.01	839847478.03	730102948.76	732854993.97	759473598.53	734662502.90	427747209.94	417363452.31	389214465.93	353091836.54	306701088.92	308290455.36	267792692.98	0	
固定资产清理	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6985555.49	309201.31	0	0	0	0	0	0	1669.64	0	7280.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953836.92	935672.84	636382.45	0	0	0	0	0	0	0	0	0	0	0	
生产性生物资产	299965420.55	306595565.99	304051730.67	309237362.15	308838274.34	303925984.35	299384018.68	300143305.91	312858414.44	305744308.33	279261155.51	274372890.63	308607679.70	337477412.62	340454276.63	310360157.86	200017106.76	204578281.29	185852877.10	173409463.17	128469240.25	110732651.70	148164853.70	123943927.73	66534304.65	48838814.10	54434108.35	47637050.39	40986742.79	35136297.84	66116743.94	68329687.07	69678421.77	69140398.45	68785210.07	71185494.22	77250076.85	77521600.02	70951919.14	67328122.83	61461884.99	56106000.41	52801618.67	51958147.29	51730371.86	45169886.36	30890194.49	31389961.80	33707720.84	35558289.45	34033085.90	27702307.05	28770290.40	26453438.46	25437615.08	37526807.49	28851222.80	28919928.21	34031629.06	26912564.41	27268962.37	28247131.13	26870197.93	27051154.69	27894614.97	28093657.76	26475842.59	28325824.51	20275829.02	11894106.11	10931924.86	10200779.37	10961878.86	11144555.06	11226738.13	11407048.95	11747650.51	12776999.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
公益性生物资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
油气资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
使用权资产	392264473.48	394920923.40	303182891.79	298872072.04	305288100.35	310972294.19	314561789.40	322617187.37	328107023.22	332011821.92	338143502.67	336317500.42	342220295.41	348679855.36	347035472.85	370681574.97	375647846.23	362839457.56	356417813.57	356545673.21	358509359.80	344753041.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
无形资产	1063975907.14	1071632329.95	1080214054.79	1086890654.29	1155067775.71	1168858095.22	1179189784.27	1188247981.44	1197167807.44	1207210924.01	1282776557.01	1292097185.87	1289033710.76	1299140773.37	1223710096.79	1214413151.75	1055489601.59	1058003077.52	1066835260.87	1027579730.50	1027714836.43	1035704201.36	1026638098.12	1015501384.29	971979567.16	979725429.40	980706917.51	830653532.60	927872415.42	934610308.19	942118451.68	951009945.99	958055610.00	977386106.69	1005343551.24	1052751385.34	1028643121.93	1035820682.06	1042586917.58	1053148972.18	1060834239.18	1066581515.93	1074087813.83	1077207766.94	1070508663.21	1077969256.42	1083344856.34	1060630676.80	902252188.77	909951870.27	916090453.38	901803677.24	908670108.17	880379847.72	857094931.16	799903568.06	296790423.73	296594109.89	817061089.56	178344539.08	139259234.36	139611330.20	76526700.21	61937043.54	62430175.94	63253090.14	64176559.90	64928940.50	65843251.27	66714310.70	67673406.68	67856568.45	68354406.41	68994049.91	68874779.55	69219767.96	69797689.77	70947493.94	71185627.79	67399799.23	71733117.10	72802428.47	73595795.78	75730962.52	69397866.57	70379400.07	71391630.27	69749047.71	70721710.12	71424762.27	55375686.77	52535241.67	53268432.06	53923140.32	39691983.66	38223205.50	36771785.93	28339655.74	28127482.57	28441569.30	23620606.85	23893107.53	24165608.21	46940521.13	23920938.89	24453885.77	24980833.31	24938709.96	0	
开发支出	20463357.29	0	0	0	0	0	0	0	0	0	0	0	0	0.00	18831695.32	18064634.84	15653996.73	14790246.18	10836136.96	9744547.62	8614046.79	7465390.29	6353699.86	5315270.95	4405889.54	3607596.38	2735535.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
商誉	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941515.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
长期待摊费用	45680436.58	48787124.81	51690740.35	51846160.85	53792724.67	55052660.05	54036197.41	56673814.37	59979256.08	59590856.06	64545339.45	74087545.56	69335437.63	57336825.76	59856673.38	57538825.35	50591316.77	55275346.49	56731906.55	49005856.62	51346173.58	52315315.09	184532694.40	183502636.09	140438949.25	68541448.63	72615850.60	69885951.98	71852131.27	74098738.70	73335792.73	58115071.76	60927800.37	64365444.11	67108747.01	68341927.20	61794746.71	58522071.77	62792467.66	58376414.44	62219458.76	66813298.74	72587527.77	74777485.62	82248901.82	84141731.92	89557496.65	73455054.00	74194380.91	67532668.16	66006908.06	64581240.88	62545777.41	60901466.60	63331510.23	62458096.09	10908965.34	18043168.15	80238598.96	31239774.74	34993797.92	36774208.50	33011027.57	5794416.18	4838139.99	2530380.66	1235772.36	1353450.77	53738.78	98535.83	164639.63	174613.48	276771.32	364807.48	452228.20	519401.86	633298.25	761130.04	0	0	0	2346412.84	4193836.84	4591231.80	5699851.14	7741809.15	7947812.84	10196178.77	11040387.65	10522908.55	9427321.46	842176.35	1282611.66	1798480.24	1736854.53	2478903.51	3220952.52	4006267.85	3166797.21	3808091.41	0	0	0	0	0	0	0	0	0	
递延所得税资产	166588395.99	161228390.47	164237904.04	130993033.07	124211157.92	121336422.84	135157134.09	147668114.15	128047726.92	144800070.86	152081127.52	148368213.08	157635347.28	159451869.17	175010641.51	154313230.32	133091646.62	113665336.62	117044607.35	215157263.19	219967938.36	168072688.06	187486694.75	187864336.45	172114169.66	195482611.56	205139943.50	116416110.86	63429509.74	61891029.18	66060578.82	50356551.69	61025351.43	40462198.64	47532004.86	65753342.87	87219350.90	62099447.04	66787715.68	82194939.12	81093207.67	65341267.75	64615093.72	41855361.79	44669273.36	36939422.34	39132478.31	74155807.20	75805200.17	72984105.52	81923782.17	80747059.73	85659017.07	77765183.57	77765796.42	70370766.74	28996895.97	32866448.63	84871638.49	32850860.25	25713422.29	23794027.66	27275871.84	21505675.13	30998899.65	20063283.20	21075721.47	16181201.73	22817873.87	23166268.76	26521765.62	13707898.75	13717239.51	12644552.67	12580271.84	13062164.48	14522506.03	20962972.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
其他非流动资产	944732416.28	928330803.77	917100378.50	908770522.23	115407107.16	12291887.15	9438936.26	10457897.35	49374965.97	38332204.54	6778157.61	28953244.47	25619041.71	39406082.50	35157826.46	60402563.85	76021996.49	112433008.13	213601311.62	326315185.23	522662159.37	254822195.88	120060994.51	61590349.36	21281371.37	11852982.80	20868724.50	12545372.71	8802481.73	8954879.90	6753169.60	7949770.27	6196813.71	10597592.65	5318333.85	5004083.08	8287998.10	4468801.08	5412685.60	5050510.42	9416816.24	4251189.18	44552160.88	34283150.57	98165827.27	122134929.39	108983712.35	155599696.14	101660527.13	114277893.39	536000000.00	536000000.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321262167.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569704.39	200594.45	0	
非流动资产合计	19222431059.93	19393840507.97	19518850461.66	19609395255.15	19138566819.93	19227238668.24	19438902728.67	19706077426.47	19869403304.22	20111219083.32	20298957993.21	20516353297.73	20441861930.95	20370908886.88	20336197645.85	19385055908.21	18195925461.33	16907791753.03	16457348448.89	15104528950.80	13661641245.48	12951217979.29	12629942331.92	12451440285.80	12256104998.38	12194619098.45	12330095113.29	12157251236.20	12248759079.91	12426173694.07	12586841471.02	12621133151.84	12754605291.36	12896918225.78	13072531291.75	13772194853.12	13313838699.89	13451441644.29	14310865568.57	14408217842.92	13785405536.40	13892459889.41	13968707807.25	13700598656.29	13598966309.17	13464108642.62	13451642882.07	11330668410.30	10897293348.29	10660906457.84	10788047369.97	10396475974.75	9572775347.07	9448214212.25	9446927895.82	9370924225.16	2960292274.83	2976400295.82	9512326460.49	3033754332.85	2698500835.45	2757228417.94	2678560958.61	2565732557.45	2522718224.48	2376170799.66	2321319497.66	2173304388.88	2139783092.90	2025663006.98	2041715394.09	1987772001.69	1970544211.92	1916966347.66	1937104469.92	1917396929.46	1879667825.42	1897643166.71	1907607620.25	1946468135.43	1908678864.28	1982626704.39	1993097022.24	1967430483.45	1936009934.46	1951148663.30	1925528702.11	1881445269.74	1848252177.73	1780403194.68	1745026601.46	1568205595.98	1467834993.32	1292857860.81	1223580632.88	1143108358.82	1135477001.31	983047753.24	923385628.86	937792266.49	861558639.24	799295757.23	573733469.76	536816352.36	478956939.97	430223232.65	372945277.34	304067515.53	0	
资产总计	40870480734.86	43538224158.73	39442365327.59	40642770592.82	38096073365.78	42997624801.40	37285159827.29	38222512909.00	36219097916.03	41395818052.90	36675370401.01	41834081626.04	36843092787.44	42856315012.67	36411979719.78	39431281907.03	33933386823.83	38658274809.25	33977361889.46	35353424914.41	31818858038.68	37157150245.73	34703881761.96	37072612408.71	29999503876.88	31215956315.87	28633340531.12	26538138386.47	24675960809.80	24123542964.92	22347914320.79	23787611399.13	21544460558.83	23488935007.21	23089066159.71	22203845940.87	20331689558.35	22830241994.71	21351919400.65	21541478811.47	20478624204.00	23304917638.67	22884467166.16	22469145130.69	21200294826.92	22327325378.83	21982434237.27	19721317001.19	17967058848.78	20199624014.26	19746141970.40	18437951798.81	16706224219.01	17773936434.67	16695083971.49	15897014499.77	6449880958.36	6845211121.82	16695658168.93	7439169286.10	7194532674.40	6411483439.13	7152403444.19	6317972427.39	6198944720.54	5892864288.17	5753235647.48	5513715712.90	5770529301.34	5701262378.00	4456179484.71	4201695876.50	3693068163.68	4079688366.15	4024116802.68	3951649790.48	3522551222.84	3729776502.59	3687489840.43	3652282099.97	3296163755.93	3231970337.65	3500602001.13	3424182761.51	3610699047.25	3387999369.40	3270090238.39	3139601654.45	3173789220.40	3303934560.84	3105309075.24	2922210597.77	2856113328.90	2866264971.53	2621588574.76	2409508945.47	2287427848.56	1808739447.27	1617014073.70	1842815277.62	1549110131.94	1376227929.18	1295358474.09	1213962450.14	1177378133.13	1149561294.42	1105913893.25	814000025.15	0	
流动负债
短期借款	11780316039.99	13118370788.99	9720261935.02	12304361026.77	9433483978.60	13173604631.88	7098148362.60	9687715583.49	7137309116.18	10901901873.02	5982978796.66	11269105527.13	6483512993.48	9979189241.05	3147345427.65	8882333835.65	3549910997.78	6367950523.64	2337955989.20	5529346439.21	2790945687.73	3569086455.54	2382649141.34	4212333390.22	5515708862.50	3844835134.40	3277465169.50	3605151827.34	3174942466.45	3100306461.90	2322205449.85	2484000000.00	2040602118.85	1642107168.85	1942107168.85	2257000000.00	2747000000.00	2806391287.14	1055000199.99	1628000000.00	607000000.00	457000000.00	600000000.00	1102000000.00	1584645600.00	589196572.67	299107949.49	107682997.71	97532008.02	147478575.31	188881001.81	280006067.17	547811151.70	503474579.16	200000000.00	157818798.90	0	145000000.00	1227184449.46	748686033.67	666768023.92	233227040.33	0	0	0	0	0	9000000.00	950061800.00	950614000.00	0	0	15000000.00	15000000.00	15000000.00	15000000.00	0	8000000.00	8000000.00	8000000.00	128000000.00	120000000.00	60000000.00	204000000.00	491000000.00	176000000.00	31000000.00	133000000.00	151000000.00	129000000.00	57000000.00	37000000.00	63000000.00	76850000.00	150000000.00	50000000.00	50000000.00	50000000.00	50000000.00	175000000.00	0	10000000.00	0	11000000.00	0	233694910.00	149779536.00	114828062.20	0	
交易性金融负债	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15464983.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应付票据及应付账款	2639003995.78	2021508696.41	2521181320.54	2299852327.47	2472993594.86	2059706847.93	2481286355.30	2538158300.90	2762232596.15	2551517354.07	3735596797.92	2970722346.56	3122665749.54	2921355728.37	3918611725.99	3171127837.87	2931078027.30	1917131243.51	2143865676.81	2089723629.76	2343253488.00	1671149609.58	1712284564.46	1871053489.51	1941077909.12	2997101898.34	3083517445.67	2386002844.08	3215930583.18	2165501469.71	1928279778.28	1900132730.94	1755094186.30	1657229583.57	1848353162.03	0	1638176085.44	1608375685.51	2308776897.74	0	1842335353.75	1924704778.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应付票据	133677149.17	159905039.73	67901927.73	68978331.94	8005633.23	6896538.43	100000.00	100000.00	0	0	0	0	0	0	0	0	0	30556600.43	30556600.43	34303054.18	39180383.98	0	4000000.00	4000000.00	4000000.00	137382676.99	137182676.99	130905988.87	126792676.99	0	0	0	0	0	0	0	0	0	0	5876895.00	5876895.00	4961055.00	4185763.00	2053328.00	4693180.00	4881040.00	1739720.00	0	0	0	0	0	0	0	0	0	0	0	94391234.12	0	295795893.80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000.00	611500.00	576063.40	28295160.00	35529160.00	37000000.00	38000000.00	31000000.00	51170800.00	9683788.00	59226988.00	163907600.00	58057920.00	115649040.00	14000000.00	133800000.00	224522446.30	105310446.30	50588000.00	160802500.00	110420000.00	4159715.93	201841183.00	0	0	0	0	0	0	0	0	0	
应付账款	2505326846.61	1861603656.68	2453279392.81	2230873995.53	2464987961.63	2052810309.50	2481186355.30	2538058300.90	2762232596.15	2551517354.07	3735596797.92	2970722346.56	3122665749.54	2921355728.37	3918611725.99	3171127837.87	2931078027.30	1886574643.08	2113309076.38	2055420575.58	2304073104.02	1671149609.58	1708284564.46	1867053489.51	1937077909.12	2859719221.35	2946334768.68	2255096855.21	3089137906.19	0	1928279778.28	0	1755094186.30	1657229583.57	1848353162.03	1870858274.55	1638176085.44	1608375685.51	2308776897.74	2035177781.75	1836458458.75	1919743723.12	2313678989.96	2468413791.28	2472933484.96	2602251233.33	3365408352.51	2158532534.86	1972100868.33	2131263061.65	2209366228.77	1983862959.80	1616368767.89	1813649993.92	1602073238.53	1828426951.80	872538852.72	1044134177.15	2545051431.80	1320792100.64	1087738218.54	917831946.38	701643730.55	847960989.82	899002856.03	908417050.92	676868633.41	986378308.60	1040025155.40	791437857.31	464248884.12	696651424.90	625565163.73	683691808.20	477919400.58	761988013.34	699795440.05	508952395.56	448901920.43	455665895.74	323287601.08	323282784.31	395713064.80	374324224.03	504963583.36	353271120.16	473032880.39	325344235.95	399517142.38	481413267.79	336732871.26	356261848.92	296987740.58	207096342.19	258992845.64	200939348.65	187103085.13	349212449.48	359282356.69	300375746.71	292380051.62	148866067.37	210719833.33	101075167.92	151930299.82	79738240.63	57234243.11	55777626.81	0	
预收款项	4338717.24	5200352.15	4495867.33	4725926.07	5210825.14	4820838.93	5126210.52	4493327.86	5085749.04	10865358.96	2878786.28	3066806.51	2179574.09	1362918.78	1178373.60	1287966.34	999518.15	699131.63	325104.99	0	0	0	0	0	0	0	1894352662.62	1750174935.53	1066743852.78	754289400.47	986899635.58	834714050.31	497683077.03	582180045.51	562009399.87	703248624.71	527412574.29	488535154.31	712391591.65	770847676.62	512463225.31	618106959.70	636136487.67	745471434.63	520156025.14	495569956.89	453005361.10	670470383.04	407762675.10	490263668.24	675055774.32	879471668.56	442144616.18	536186600.40	610049919.94	669517390.67	496657364.28	472608023.06	702426160.40	640115786.17	513568363.74	502120239.97	798414953.40	741858638.70	482975176.00	482543812.37	767656095.71	605172596.56	298297153.94	373477398.73	480190609.79	366123274.33	236262311.93	319749155.30	348478982.83	324446668.89	198530264.66	223137412.13	258354723.73	237129810.31	140734307.89	157132463.37	224289537.53	165757845.44	242170416.22	224867508.05	214859515.90	112236774.83	110896171.52	102649472.90	85840676.57	76326253.08	85074028.25	44582225.97	69520123.19	68226028.28	14208853.05	19490023.29	21769032.87	4465757.95	9829827.14	11399487.14	8597143.55	40432547.58	73698704.65	239707793.07	301863513.29	137952798.90	0	
应付手续费及佣金	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应付职工薪酬	698010382.12	528622802.63	900034811.61	819798893.62	604451973.29	444650788.25	857077295.24	758847585.91	589549975.38	465268963.78	811634373.81	863156041.12	722259993.26	595266923.31	1027867187.81	798287460.21	593126285.88	440732589.40	942780043.65	814762028.81	670411971.35	680121449.59	1113665467.11	880871803.80	639891422.90	688379623.70	939141147.34	603678942.69	479021454.19	446577495.25	711003794.43	539980565.53	441362546.17	338956300.25	611283942.17	526925197.50	407979821.79	318746755.46	600782437.34	509181245.22	419545503.41	334688742.37	647498486.25	560868165.27	468347554.11	384453165.43	648440574.59	580753779.84	474118286.54	383868289.29	648202907.20	548585227.84	439379362.92	343872344.05	564008509.90	497329332.07	232053615.85	189632899.10	604986030.62	281152694.20	200281990.73	149354304.11	367917673.01	265019548.67	203951751.73	148148215.16	300802323.39	160452250.84	134665426.42	108488799.67	262201565.63	133217798.73	111286774.93	90685134.75	248237801.42	138478339.36	79970038.07	67466497.37	199338084.54	26976777.74	27758520.19	31447722.42	154919530.51	43236075.81	37878615.33	36663453.27	75791880.72	37603372.24	35166707.16	34530188.81	44309688.16	31803176.96	30189508.50	29861145.99	28690207.82	30445525.92	30011215.99	20667252.65	28543329.02	33945570.23	32401265.58	17594235.40	20475089.73	9991257.37	9540087.13	23494586.73	587093.39	4204067.85	0	
应交税费	354875558.05	572697258.65	494116396.92	593152511.43	422597169.29	489797460.85	691030713.88	535289829.26	423377518.06	532219570.82	397524262.65	526195049.42	402498966.60	472706283.45	478505805.58	483678518.11	392375053.20	451128785.40	372697900.87	508124625.91	326021973.75	546123417.73	411792409.48	678812486.48	546397579.48	568315682.01	381237939.61	409699452.65	216388224.90	305969103.52	329137207.58	412441496.31	324195931.18	425700089.53	294627389.87	382087763.35	298670920.22	380936295.70	295603980.32	465922569.29	374909940.21	433649156.95	309194891.25	395654598.98	299493342.18	377043131.51	318484672.74	380076154.07	312126903.62	302409725.18	301516772.21	178212445.92	87413087.74	259701440.25	273784627.48	436721116.83	72337459.18	45771745.51	225602538.75	46970320.19	-6378712.35	-6272106.72	151533027.57	154206601.90	78835013.72	112653299.85	68061292.78	156210915.72	94435641.95	96069816.43	64135042.77	60473861.39	18401850.22	15939034.82	51968751.52	3522759.80	26741618.23	47987668.96	37873437.74	80940366.22	7566356.31	74154627.58	73042390.31	44721985.33	-32868374.82	-4382946.01	-3916166.10	36984665.96	3970748.67	41990882.78	45632135.93	39006014.05	18048774.68	11875080.24	68811748.52	34447259.78	14964529.92	9703276.98	15562075.17	10640216.22	30468569.21	14130163.39	12437735.88	16544492.22	4462488.46	26500774.51	40943118.62	28946149.68	0	
